---Best Solution---
Total Value: 4334755
Item 321 not selected.
Item 322 not selected.
Item 323 not selected.
Item 324 not selected.
Item 325 selected.
Item 326 not selected.
Item 327 not selected.
Item 328 not selected.
Item 329 not selected.
Item 330 not selected.
Item 331 not selected.
Item 332 not selected.
Item 333 not selected.
Item 334 not selected.
Item 335 not selected.
Item 336 not selected.
Item 337 not selected.
Item 338 not selected.
Item 339 not selected.
Item 340 not selected.
Item 341 not selected.
Item 342 not selected.
Item 343 not selected.
Item 344 not selected.
Item 345 selected.
Item 346 not selected.
Item 347 not selected.
Item 348 not selected.
Item 349 not selected.
Item 350 not selected.
Item 351 not selected.
Item 352 not selected.
Item 353 not selected.
Item 354 not selected.
Item 355 not selected.
Item 356 not selected.
Item 357 selected.
Item 358 not selected.
Item 359 not selected.
Item 360 not selected.
Item 361 not selected.
Item 362 not selected.
Item 363 not selected.
Item 364 not selected.
Item 365 not selected.
Item 366 not selected.
Item 367 not selected.
Item 368 not selected.
Item 369 not selected.
Item 370 not selected.
Item 371 not selected.
Item 372 selected.
Item 373 not selected.
Item 374 not selected.
Item 375 not selected.
Item 376 not selected.
Item 377 not selected.
Item 378 not selected.
Item 379 not selected.
Item 380 not selected.
Item 381 not selected.
Item 382 not selected.
Item 383 not selected.
Item 384 not selected.
Item 385 not selected.
Item 386 not selected.
Item 387 not selected.
Item 388 not selected.
Item 389 not selected.
Item 390 not selected.
Item 391 not selected.
Item 392 not selected.
Item 393 not selected.
Item 394 not selected.
Item 395 not selected.
Item 396 not selected.
Item 397 not selected.
Item 398 not selected.
Item 399 not selected.
Item 400 not selected.
Item 401 not selected.
Item 402 not selected.
Item 403 not selected.
Item 404 not selected.
Item 405 not selected.
Item 406 not selected.
Item 407 not selected.
Item 408 not selected.
Item 409 not selected.
Item 410 not selected.
Item 411 not selected.
Item 412 not selected.
Item 413 not selected.
Item 414 not selected.
Item 415 not selected.
Item 416 not selected.
Item 417 not selected.
Item 418 not selected.
Item 419 not selected.
Item 420 not selected.
Item 421 not selected.
Item 422 not selected.
Item 423 not selected.
Item 424 not selected.
Item 425 not selected.
Item 426 not selected.
Item 427 not selected.
Item 428 not selected.
Item 429 not selected.
Item 430 not selected.
Item 431 not selected.
Item 432 not selected.
Item 433 not selected.
Item 434 not selected.
Item 435 not selected.
Item 436 not selected.
Item 437 not selected.
Item 438 not selected.
Item 439 not selected.
Item 440 not selected.
Item 441 selected.
Item 442 not selected.
Item 443 not selected.
Item 444 not selected.
Item 445 not selected.
Item 446 not selected.
Item 447 selected.
Item 448 not selected.
Item 449 not selected.
Item 450 not selected.
Item 451 not selected.
Item 452 not selected.
Item 453 not selected.
Item 454 not selected.
Item 455 not selected.
Item 456 not selected.
Item 457 not selected.
Item 458 not selected.
Item 459 not selected.
Item 460 not selected.
Item 461 not selected.
Item 462 not selected.
Item 463 not selected.
Item 464 not selected.
Item 465 not selected.
Item 466 not selected.
Item 467 not selected.
Item 468 not selected.
Item 469 not selected.
Item 470 not selected.
Item 471 not selected.
Item 472 not selected.
Item 473 not selected.
Item 474 not selected.
Item 475 not selected.
Item 476 not selected.
Item 477 not selected.
Item 478 not selected.
Item 479 not selected.
Item 480 not selected.
Item 481 not selected.
Item 482 not selected.
Item 483 not selected.
Item 484 not selected.
Item 485 not selected.
Item 486 not selected.
Item 487 not selected.
Item 488 not selected.
Item 489 not selected.
Item 490 not selected.
Item 491 not selected.
Item 492 not selected.
Item 493 not selected.
Item 494 not selected.
Item 495 not selected.
Item 496 not selected.
Item 497 not selected.
Item 498 not selected.
Item 499 not selected.
Item 500 not selected.
Item 501 not selected.
Item 502 not selected.
Item 503 not selected.
Item 504 not selected.
Item 505 not selected.
Item 506 not selected.
Item 507 not selected.
Item 508 not selected.
Item 509 not selected.
Item 510 not selected.
Item 511 not selected.
Item 512 not selected.
Item 513 not selected.
Item 514 not selected.
Item 515 not selected.
Item 516 not selected.
Item 517 not selected.
Item 518 not selected.
Item 519 not selected.
Item 520 not selected.
Item 521 not selected.
Item 522 not selected.
Item 523 not selected.
Item 524 not selected.
Item 525 not selected.
Item 526 not selected.
Item 527 not selected.
Item 528 not selected.
Item 529 not selected.
Item 530 not selected.
Item 531 not selected.
Item 532 not selected.
Item 533 not selected.
Item 534 not selected.
Item 535 not selected.
Item 536 not selected.
Item 537 not selected.
Item 538 not selected.
Item 539 not selected.
Item 540 not selected.
Item 541 not selected.
Item 542 not selected.
Item 543 selected.
Item 544 not selected.
Item 545 not selected.
Item 546 not selected.
Item 547 not selected.
Item 548 not selected.
Item 549 not selected.
Item 550 not selected.
Item 551 not selected.
Item 552 not selected.
Item 553 not selected.
Item 554 not selected.
Item 555 not selected.
Item 556 not selected.
Item 557 not selected.
Item 558 not selected.
Item 559 not selected.
Item 560 not selected.
Item 561 not selected.
Item 562 not selected.
Item 563 not selected.
Item 564 not selected.
Item 565 not selected.
Item 566 not selected.
Item 567 not selected.
Item 568 not selected.
Item 569 not selected.
Item 570 not selected.
Item 571 not selected.
Item 572 not selected.
Item 573 not selected.
Item 574 not selected.
Item 575 not selected.
Item 576 not selected.
Item 577 not selected.
Item 578 not selected.
Item 579 not selected.
Item 580 not selected.
Item 581 not selected.
Item 582 not selected.
Item 583 not selected.
Item 584 not selected.
Item 585 not selected.
Item 586 not selected.
Item 587 not selected.
Item 588 not selected.
Item 589 not selected.
Item 590 not selected.
Item 591 not selected.
Item 592 not selected.
Item 593 not selected.
Item 594 not selected.
Item 595 not selected.
Item 596 not selected.
Item 597 not selected.
Item 598 not selected.
Item 599 not selected.
Item 600 not selected.
Item 601 not selected.
Item 602 not selected.
Item 603 not selected.
Item 604 not selected.
Item 605 not selected.
Item 606 not selected.
Item 607 not selected.
Item 608 not selected.
Item 609 not selected.
Item 610 selected.
Item 611 not selected.
Item 612 not selected.
Item 613 not selected.
Item 614 not selected.
Item 615 not selected.
Item 616 not selected.
Item 617 not selected.
Item 618 not selected.
Item 619 not selected.
Item 620 not selected.
Item 621 not selected.
Item 622 not selected.
Item 623 selected.
Item 624 not selected.
Item 625 not selected.
Item 626 not selected.
Item 627 not selected.
Item 628 not selected.
Item 629 not selected.
Item 630 not selected.
Item 631 not selected.
Item 632 not selected.
Item 633 not selected.
Item 634 not selected.
Item 635 not selected.
Item 636 selected.
Item 637 not selected.
Item 638 not selected.
Item 639 not selected.
Item 640 not selected.
Item 641 selected.
Item 642 not selected.
Item 643 not selected.
Item 644 not selected.
Item 645 not selected.
Item 646 not selected.
Item 647 not selected.
Item 648 not selected.
Item 649 not selected.
Item 650 not selected.
Item 651 not selected.
Item 652 not selected.
Item 653 not selected.
Item 654 not selected.
Item 655 not selected.
Item 656 selected.
Item 657 not selected.
Item 658 not selected.
Item 659 not selected.
Item 660 not selected.
Item 661 not selected.
Item 662 not selected.
Item 663 not selected.
